Brand,Model,picture,Price,,,,,,,,,,,,,,,,,,,,,,,
HP,Stream 13-C019TU,https://i.gadgets360cdn.com/products/laptops/large/1546455428_635_hp_stream-13-c019tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.91,,,,,,,,,,,,,,,,,,,,,,,3
Micromax,Ignite LPQ61408W,https://i.gadgets360cdn.com/products/laptops/large/1546454448_635_micromax_ignite-lpq61408w.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.91,,,,,,,,,,,,,,,,,,,,,,,2
Acer,Aspire E ES-11 ES1-132-C8G1,https://i.gadgets360cdn.com/products/laptops/large/1546456177_635_acer_aspire-e-es-11-es1-132-c8g1.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.99,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E ES-11 ES1-132-C8G1,https://i.gadgets360cdn.com/products/laptops/large/1546456177_635_acer_aspire-e-es-11-es1-132-c8g1.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.99,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X551CA-SX075D,https://i.gadgets360cdn.com/products/laptops/large/1546455449_635_asus_x551ca-sx075d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.99,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X200MA-KX238D,https://i.gadgets360cdn.com/products/laptops/large/1546455421_635_asus_x200ma-kx238d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.99,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X200MA-KX238D,https://i.gadgets360cdn.com/products/laptops/large/1546455421_635_asus_x200ma-kx238d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.99,,,,,,,,,,,,,,,,,,,,,,,1
Asus,X205TA,https://i.gadgets360cdn.com/products/laptops/large/1546455430_635_asus_x205ta.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.99,,,,,,,,,,,,,,,,,,,,,,,1
Asus,X205TA,https://i.gadgets360cdn.com/products/laptops/large/1546455430_635_asus_x205ta.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,151.99,,,,,,,,,,,,,,,,,,,,,,,3
iBall,Flip X5,https://i.gadgets360cdn.com/products/laptops/large/1546455454_635_iball_flip-x5.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,152.00,,,,,,,,,,,,,,,,,,,,,,,3
iBall,Flip X5,https://i.gadgets360cdn.com/products/laptops/large/1546455454_635_iball_flip-x5.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,152.00,,,,,,,,,,,,,,,,,,,,,,,3
Lenovo,IdeaPad 100,https://i.gadgets360cdn.com/products/laptops/large/1525204420_635_ideapad-100.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,152.86,,,,,,,,,,,,,,,,,,,,,,,3
